Id_projecte,Nom_projecte,Id_objectiu,Objectiu,Tipus_objectiu,Prioritat,Valor_objectiu,Valor_actual,Indicador_clau
P01,Campus d’Emprenedoria Disruptiu,O1,Reforçar capacitats empresarials i d’innovació,Específic,1,100,78,% startups amb millora
P01,Campus d’Emprenedoria Disruptiu,O2,"Facilitar validació, mercat, inversió i connexions",Específic,2,70,62,% startups amb oportunitat validada
P01,Campus d’Emprenedoria Disruptiu,O3,Generar retorn territorial mesurable,Impacte,3,75,67,% startups amb retorn verificat
P02,Network4Work,O1,Reforçar la governança local de l’ocupació,Específic,1,80,55,% agents clau actius
P02,Network4Work,O2,Adaptar el Local Employment Forum al context local,Específic,2,100,35,% model adaptat
P02,Network4Work,O3,Millorar connexió talent-ocupació-economia blava,Impacte,3,30,12,connexions efectives
P03,C4TALENT,O1,Crear un ecosistema més favorable a empreses i startups,Específic,1,100,92,% accions IAP definides
P03,C4TALENT,O2,Atraure i retenir talent jove,Impacte,2,20,16,iniciatives/connexions
P03,C4TALENT,O3,Disposar d’un Pla d’Acció Integrat local,Específic,3,1,1,IAP finalitzat
